category,amt,gender,city,state,zip,lat,long,city_pop,job,merch_lat,merch_long,is_fraud
home,8.38,F,West Columbia,SC,29170,33.9568,-81.1405,52126,Chemical engineer,34.042545,-81.207026,NotFraud
kids_pets,21.6,F,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,30.472986,-95.316716,NotFraud
kids_pets,123.09,F,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",43.19966,-95.405737,NotFraud
home,38.8,F,O Brien,TX,79539,33.3749,-99.8473,178,Warden/ranger,32.74548,-99.609657,NotFraud
personal_care,165.06,F,Shields,ND,58569,46.1838,-101.2589,77,Film/video editor,46.047289,-102.084003,NotFraud
entertainment,26.93,F,Lakeport,CA,95453,39.047,-122.9328,11256,Podiatrist,38.786649,-122.448249,NotFraud
health_fitness,14.03,M,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",34.837065,-79.023479,NotFraud
personal_care,71.57,M,Schaefferstown,PA,17088,40.3087,-76.2963,823,Gaffer,39.934387,-76.717545,NotFraud
personal_care,89.14,F,Hurley,SD,57036,43.2893,-97.1904,811,Neurosurgeon,43.813221,-97.86916,NotFraud
food_dining,19.05,F,Cascade Locks,OR,97014,45.671,-121.8686,1288,Barrister,45.649669,-121.366436,NotFraud
entertainment,16.49,F,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",36.73464,-122.079128,NotFraud
shopping_pos,8.45,F,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",35.143583,-91.665845,NotFraud
health_fitness,31.58,F,Norman,AR,71960,34.4596,-93.6743,1383,Manufacturing engineer,33.657801,-94.229986,NotFraud
travel,7.32,M,Webster City,IA,50595,42.4657,-93.8262,9165,Medical secretary,43.220381,-94.640548,NotFraud
grocery_pos,49.67,F,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",37.73286,-81.815874,NotFraud
kids_pets,102.71,F,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,40.505275,-80.269768,NotFraud
health_fitness,10.49,F,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",30.212578,-90.523094,NotFraud
shopping_net,5.72,F,Lagrange,WY,82221,41.6423,-104.1974,635,Product/process development scientist,40.960441,-104.634864,NotFraud
health_fitness,35.98,F,Tulsa,OK,74131,36.0557,-96.0602,413574,"Teacher, special educational needs",36.565398,-96.378681,NotFraud
personal_care,43.13,F,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,43.273858,-115.950446,NotFraud
shopping_pos,230.59,F,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",30.464946,-90.86351,NotFraud
shopping_net,165.4,M,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,37.960061,-85.981519,NotFraud
personal_care,57.13,F,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,48.395023,-122.106642,NotFraud
personal_care,49.43,F,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,35.372188,-98.390298,NotFraud
home,89.82,F,Annapolis,MD,21405,39.0305,-76.5515,92106,"Accountant, chartered certified",38.400359,-76.923792,NotFraud
